Strain	accession	gene	original_header	seq_type	tax	vsearch_hash	len
EnvTARA016	KU377975	petB	Uncultured Prochlorococcus sp. clone EnvTARA016 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	d7e7907dc1e65b7087e2e19e5305b3f5	557
EnvTARA017	KU377974	petB	Uncultured Prochlorococcus sp. clone EnvTARA017 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLI-Others	MIC	90066599faf35cdebbd39d80b274afe8	557
EnvTARA018	KU377973	petB	Uncultured Prochlorococcus sp. clone EnvTARA018 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	9f3ddd49d2cd27ca9ffd308ce00360b5	557
EnvTARA019	KU377972	petB	Uncultured Prochlorococcus sp. clone EnvTARA019 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLI-Others	MIC	b238eb6b0c76ecb7b0fcd09da280fde5	557
EnvTARA020	KU377971	petB	Uncultured Prochlorococcus sp. clone EnvTARA020 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	f31b1ac0fef5c96d73fef9bc470d4ffe	557
EnvTARA021	KU377970	petB	Uncultured Prochlorococcus sp. clone EnvTARA021 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	0430ef12ed5f1bdb75d9cfa199bcc848	557
EnvTARA022	KU377969	petB	Uncultured Prochlorococcus sp. clone EnvTARA022 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	ccd6cbf75563a118fec2e0dddc881ffe	557
EnvTARA023	KU377968	petB	Uncultured Prochlorococcus sp. clone EnvTARA023 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	d39581f1bc41e442b6077a51169e0f99	557
EnvTARA025	KU377967	petB	Uncultured Prochlorococcus sp. clone EnvTARA025 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	663d2a97374a83f1ecba25f8efbf5c3d	557
EnvTARA026	KU377966	petB	Uncultured Prochlorococcus sp. clone EnvTARA026 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLI-Others	MIC	8927852d2dcdee1042bd9da6423732de	557
EnvTARA027	KU377965	petB	Uncultured Prochlorococcus sp. clone EnvTARA027 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	478ac9b37646d15fd0522c6b57554abc	557
EnvTARA029	KU377964	petB	Uncultured Prochlorococcus sp. clone EnvTARA029 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIB	MIC	cb6017aefc5eaa8e650e482c953c878d	572
EnvTARA030	KU377963	petB	Uncultured Prochlorococcus sp. clone EnvTARA030 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIB	MIC	25300d252924bd9302b70c70be41a645	571
EnvTARA031	KU377962	petB	Uncultured Prochlorococcus sp. clone EnvTARA031 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	2b232b3bfa51ee981d8df48805fe52f5	592
EnvTARA032	KU377961	petB	Uncultured Prochlorococcus sp. clone EnvTARA032 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	eb3852ce0c39b1bbdfe9efc296fe8e2d	595
EnvTARA033	KU377960	petB	Uncultured Prochlorococcus sp. clone EnvTARA033 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	5586f92de516f60213a9513187e53451	581
EnvTARA034	KU377959	petB	Uncultured Prochlorococcus sp. clone EnvTARA034 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	1f4a1f1f8182ca8e239f91af8a51e84a	561
EnvTARA051	KU377958	petB	Uncultured Prochlorococcus sp. clone EnvTARA051 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	48d54910d568fe9d3e0425da20e1c38c	590
EnvTARA052	KU377957	petB	Uncultured Prochlorococcus sp. clone EnvTARA052 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	8aaa9922e05a52b074befd57255e6f48	573
EnvTARA053	KU377956	petB	Uncultured Prochlorococcus sp. clone EnvTARA053 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLID	MIC	7c6e79b0da5a77ecd9682264407f0aae	570
EnvTARA055	KU377955	petB	Uncultured Prochlorococcus sp. clone EnvTARA055 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	9b7bac2eafa5f9d3264d49385ee7c575	567
EnvTARA056	KU377954	petB	Uncultured Prochlorococcus sp. clone EnvTARA056 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	d25a710e75f0488d71dc5da83d5da097	571
EnvTARA057	KU377953	petB	Uncultured Prochlorococcus sp. clone EnvTARA057 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	c45da15aa0e52c02b70a5b7db5a32293	561
EnvTARA058	KU377952	petB	Uncultured Prochlorococcus sp. clone EnvTARA058 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	93b3239777164ade26157e49d73b406d	566
EnvTARA059	KU377951	petB	Uncultured Prochlorococcus sp. clone EnvTARA059 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	7ee1a0f94cebbdf2fbbe8a95ccead54b	559
EnvTARA060	KU377950	petB	Uncultured Prochlorococcus sp. clone EnvTARA060 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	011fd0dbe54d2d82be5f661eb13e3741	557
EnvTARA061	KU377949	petB	Uncultured Prochlorococcus sp. clone EnvTARA061 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	90f4fa432af0c144e9824ed68ffad1c9	568
EnvTARA062	KU377948	petB	Uncultured Prochlorococcus sp. clone EnvTARA062 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	d3eba401360ebf5fc9432e47ef7da913	560
EnvTARA063	KU377947	petB	Uncultured Prochlorococcus sp. clone EnvTARA063 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	c8ab4ce6fe54c3ecd7c8c207c8aa48b1	567
EnvTARA064	KU377946	petB	Uncultured Prochlorococcus sp. clone EnvTARA064 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	f4de43e5e093dabe82dcea53bd52eeec	560
EnvTARA065	KU377945	petB	Uncultured Prochlorococcus sp. clone EnvTARA065 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	1682918d7d37d63e52bc6e74f8fae0cc	557
EnvTARA068	KU377944	petB	Uncultured Prochlorococcus sp. clone EnvTARA068 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	8f7676a34e31893f1dba5f9ad2aad2fc	567
EnvTARA069	KU377943	petB	Uncultured Prochlorococcus sp. clone EnvTARA069 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	b5079530e054dc596d96522972950b97	561
EnvTARA070	KU377942	petB	Uncultured Prochlorococcus sp. clone EnvTARA070 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	4e970cd403ecbc41d91a53f2de3a1be2	561
EnvTARA073	KU377941	petB	Uncultured Prochlorococcus sp. clone EnvTARA073 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	593720217adc2b4fe671c68a77740b33	587
EnvTARA077	KU377940	petB	Uncultured Prochlorococcus sp. clone EnvTARA077 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	5141df1c30db857bc0ae1d936caa9b19	586
EnvTARA078	KU377939	petB	Uncultured Prochlorococcus sp. clone EnvTARA078 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	f32789bf47ba4da599d49d84d064b4d8	577
EnvTARA079	KU377938	petB	Uncultured Prochlorococcus sp. clone EnvTARA079 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	5a71e55f6262517f7dd07aa6f758c2c9	570
EnvTARA080	KU377937	petB	Uncultured Prochlorococcus sp. clone EnvTARA080 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIV|HLIVA	MIC	620bc52fea3bf185a1523160c03f57c9	589
EnvTARA081	KU377936	petB	Uncultured Prochlorococcus sp. clone EnvTARA081 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLID	MIC	29b845a7558a1450008832a07fb0a1ff	572
EnvTARA082	KU377935	petB	Uncultured Prochlorococcus sp. clone EnvTARA082 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLID	MIC	2abc28fa0de370b3a55caec4636d7675	552
EnvTARA083	KU377934	petB	Uncultured Prochlorococcus sp. clone EnvTARA083 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIII|HLIIIA	MIC	80a77ce9665cfd667878b5e9a25e7e1c	592
EnvTARA084	KU377933	petB	Uncultured Prochlorococcus sp. clone EnvTARA084 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLIII|HLIIIA	MIC	9bd0f7cf8ccb8dc2abb5faf2b85b671a	587
EnvTARA085	KU377932	petB	Uncultured Prochlorococcus sp. clone EnvTARA085 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	cd7e969d6e89a27ec3b9f59ed33e4f33	581
EnvTARA086	KU377931	petB	Uncultured Prochlorococcus sp. clone EnvTARA086 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIC	MIC	0be64678c08cc31936311521e34dca9c	573
EnvTARA087	KU377930	petB	Uncultured Prochlorococcus sp. clone EnvTARA087 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIC	MIC	2eff982a3ea11177af7e7c5b7e431f7f	573
EnvTARA088	KU377929	petB	Uncultured Prochlorococcus sp. clone EnvTARA088 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIC	MIC	af10d71b07f323d19fddb1cdd7762747	578
EnvTARA089	KU377928	petB	Uncultured Prochlorococcus sp. clone EnvTARA089 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLIV|LLIVA	MIC	0e3a0465de823e47c2729a4cfa76f947	581
EnvTARA090	KU377927	petB	Uncultured Prochlorococcus sp. clone EnvTARA090 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	30e2537ff5c139e14b7c5de7df25e123	569
EnvTARA091	KU377926	petB	Uncultured Prochlorococcus sp. clone EnvTARA091 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	6430345947dd9f9153371a92c86e669a	632
EnvTARA092	KU377925	petB	Uncultured Prochlorococcus sp. clone EnvTARA092 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	d732152fae3c1479aad78e6cef2ad2af	583
EnvTARA093	KU377924	petB	Uncultured Prochlorococcus sp. clone EnvTARA093 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	7ea4eed5f809b9836ea5475e17a8781b	629
EnvTARA096	KU377923	petB	Uncultured Prochlorococcus sp. clone EnvTARA096 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	2ec29dc2037320adc294b5d9a968e985	580
EnvTARA097	KU377922	petB	Uncultured Prochlorococcus sp. clone EnvTARA097 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	cfb5c3fe26d83527c6ff92f921e9592e	575
EnvTARA098	KU377921	petB	Uncultured Prochlorococcus sp. clone EnvTARA098 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIC	MIC	411fae4092e67b27a58113b7e8b7ed25	573
EnvTARA099	KU377920	petB	Uncultured Prochlorococcus sp. clone EnvTARA099 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	257efa3bcce5cc9319e3559f6424f7fd	560
EnvTARA100	KU377919	petB	Uncultured Prochlorococcus sp. clone EnvTARA100 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	e4089e0335bab7b7c30c3d7209af1541	559
EnvTARA101	KU377918	petB	Uncultured Prochlorococcus sp. clone EnvTARA101 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	dd350192d2d2176f41e9437d1b5d7fe8	573
EnvTARA102	KU377917	petB	Uncultured Prochlorococcus sp. clone EnvTARA102 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	f2e3d9e80fc53c83e15d70d1acfe7a6e	574
EnvTARA103	KU377916	petB	Uncultured Prochlorococcus sp. clone EnvTARA103 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	8b10832938e33ae72b2bcabba7c8ccb6	557
EnvTARA104	KU377915	petB	Uncultured Prochlorococcus sp. clone EnvTARA104 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIA	MIC	df4d4f3f34f9f4388b9a8bde7152d359	575
EnvTARA105	KU377914	petB	Uncultured Prochlorococcus sp. clone EnvTARA105 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	17438263844407886cdf04d474a8bed0	569
EnvTARA106	KU377913	petB	Uncultured Prochlorococcus sp. clone EnvTARA106 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIID	MIC	4ae5e6cec9154cbc36d2a4f184a7450a	580
EnvTARA107	KU377912	petB	Uncultured Prochlorococcus sp. clone EnvTARA107 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	84f34d0cd6f19f20a9016139745910aa	564
EnvTARA108	KU377911	petB	Uncultured Prochlorococcus sp. clone EnvTARA108 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	d72880a10d33e282dc815e080f92585a	564
EnvTARA109	KU377910	petB	Uncultured Prochlorococcus sp. clone EnvTARA109 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	6e8bf91e862e39df6f7822a35539e3f6	606
EnvTARA110	KU377909	petB	Uncultured Prochlorococcus sp. clone EnvTARA110 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	cdd74a8a8f897f6b7a08d36cf6ac6f5b	573
EnvTARA111	KU377908	petB	Uncultured Prochlorococcus sp. clone EnvTARA111 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	9aca5fb4d11ca364c2ab496529b470be	605
EnvTARA112	KU377907	petB	Uncultured Prochlorococcus sp. clone EnvTARA112 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLID	MIC	ea3ec63670435f797e2989e440edb116	565
EnvTARA113	KU377906	petB	Uncultured Prochlorococcus sp. clone EnvTARA113 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	7c1f665a777d2eb6f177ffd02739673b	615
EnvTARA115	KU377905	petB	Uncultured Prochlorococcus sp. clone EnvTARA115 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	e722b3b7e4f0e31cf0cebbb9cbfc716b	573
EnvTARA116	KU377904	petB	Uncultured Prochlorococcus sp. clone EnvTARA116 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	10c8dcdd013df4db417ba97da9b4405a	597
EnvTARA117	KU377903	petB	Uncultured Prochlorococcus sp. clone EnvTARA117 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	06626ff0e0ab40c67b07b9376874b43b	613
EnvTARA118	KU377902	petB	Uncultured Prochlorococcus sp. clone EnvTARA118 cytochrome b6 (petB) gene, partial cds	petB_Pro_LLI|LLIC	MIC	520b644be5399dd0e6089ad91167a35b	601
EnvTARA119	KU377901	petB	Uncultured Prochlorococcus sp. clone EnvTARA119 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIID	MIC	df3660a949094591b417d473e0101297	557
EnvTARA120	KU377900	petB	Uncultured Prochlorococcus sp. clone EnvTARA120 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	29d11c10e3942926f04dd421393a6103	568
EnvTARA121	KU377899	petB	Uncultured Prochlorococcus sp. clone EnvTARA121 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	2aae00ba464e8161ba6495cb65aa00a8	560
EnvTARA122	KU377898	petB	Uncultured Prochlorococcus sp. clone EnvTARA122 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIB	MIC	323dfb870f08b3c30a738673ce5efc27	564
EnvTARA123	KU377897	petB	Uncultured Prochlorococcus sp. clone EnvTARA123 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIID	MIC	1af4699852495954a97692bcb18ca2d0	599
EnvTARA124	KU377896	petB	Uncultured Prochlorococcus sp. clone EnvTARA124 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	133334e34af568ed5291aecc851b0e7a	557
EnvTARA125	KU377895	petB	Uncultured Prochlorococcus sp. clone EnvTARA125 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIID	MIC	11c8c5e5385ec715d995067a2fb0fa52	599
EnvTARA126	KU377894	petB	Uncultured Prochlorococcus sp. clone EnvTARA126 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIID	MIC	bbcaf911acf5f1265760159761fed496	563
EnvTARA127	KU377893	petB	Uncultured Prochlorococcus sp. clone EnvTARA127 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	f595b63d336ba5906fda5e934f271bdf	569
EnvTARA128	KU377892	petB	Uncultured Prochlorococcus sp. clone EnvTARA128 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	f708ed6480de3a10b784577917a33473	565
EnvTARA129	KU377891	petB	Uncultured Prochlorococcus sp. clone EnvTARA129 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIB	MIC	813dce1e0a1a86ec3a5cb96d4727da89	562
EnvTARA130	KU377890	petB	Uncultured Prochlorococcus sp. clone EnvTARA130 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	7898771467adc0f2492bcbf5729515c0	566
EnvTARA131	KU377889	petB	Uncultured Prochlorococcus sp. clone EnvTARA131 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	1c84d6f27df2fc3bcb5e76d86aff8dba	599
EnvTARA132	KU377888	petB	Uncultured Prochlorococcus sp. clone EnvTARA132 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	01b697287b8fb152033956b28d03b2ea	561
EnvTARA133	KU377887	petB	Uncultured Prochlorococcus sp. clone EnvTARA133 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	c08d26919526749a869e16cd43070565	566
EnvTARA134	KU377886	petB	Uncultured Prochlorococcus sp. clone EnvTARA134 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLID	MIC	6b106804b5d2dbd01a8fb2841b6846f6	582
EnvTARA135	KU377885	petB	Uncultured Prochlorococcus sp. clone EnvTARA135 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLID	MIC	9724c1077b5bee125468857401b71dad	570
EnvTARA136	KU377884	petB	Uncultured Prochlorococcus sp. clone EnvTARA136 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLID	MIC	c929c79922ec06b4815d35d2ae59a502	565
EnvTARA138	KU377883	petB	Uncultured Prochlorococcus sp. clone EnvTARA138 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	653b2b9a98e1192a9634f8e41afac1db	567
EnvTARA139	KU377882	petB	Uncultured Prochlorococcus sp. clone EnvTARA139 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	feed89cc4ba9f79cc77240d5e86532c1	572
EnvTARA140	KU377881	petB	Uncultured Prochlorococcus sp. clone EnvTARA140 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	d5a5b1a4b3f064cfb2ad3224231d060d	558
EnvTARA141	KU377880	petB	Uncultured Prochlorococcus sp. clone EnvTARA141 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	6bd4a909a28feaa8aba1ed5c0a1bd055	580
EnvTARA142	KU377879	petB	Uncultured Prochlorococcus sp. clone EnvTARA142 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	3e316f35d5539cd3d779c0210920f818	587
EnvTARA143	KU377878	petB	Uncultured Prochlorococcus sp. clone EnvTARA143 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	bf6c7939914eac2ce130aaeebb8f92e6	584
EnvTARA144	KU377877	petB	Uncultured Prochlorococcus sp. clone EnvTARA144 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	ec8720cf8461358957b5b6477500059b	559
EnvTARA145	KU377876	petB	Uncultured Prochlorococcus sp. clone EnvTARA145 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	f51b44e32be5db4b0da6bbcf351d60f9	557
EnvTARA146	KU377875	petB	Uncultured Prochlorococcus sp. clone EnvTARA146 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIID	MIC	4b9f48856a1933f4b09e0778c6bd9bd5	559
EnvTARA147	KU377874	petB	Uncultured Prochlorococcus sp. clone EnvTARA147 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLII|HLIIA	MIC	d83f006ca54d50f266022cf3f5bcf31a	559
EnvTARA149	KU377873	petB	Uncultured Prochlorococcus sp. clone EnvTARA149 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIB	MIC	2e6de179f0217daeb24ce6c435f5c4df	583
EnvTARA150	KU377872	petB	Uncultured Prochlorococcus sp. clone EnvTARA150 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIB	MIC	d8a354b641d259e3e3cd2369d0fb2fdd	580
EnvTARA151	KU377871	petB	Uncultured Prochlorococcus sp. clone EnvTARA151 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	76623c4ed70eabdb02e1b935c55fc1b7	568
EnvTARA152	KU377870	petB	Uncultured Prochlorococcus sp. clone EnvTARA152 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIB	MIC	feba5bc11467b9fdb2bb31dced8f142c	566
EnvTARA153	KU377869	petB	Uncultured Prochlorococcus sp. clone EnvTARA153 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIB	MIC	b54448b099d5d36f8429b7ca24b9f344	593
EnvTARA154	KU377868	petB	Uncultured Prochlorococcus sp. clone EnvTARA154 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIB	MIC	52df5b449c327367207815bbff4ea8ce	565
EnvTARA155	KU377867	petB	Uncultured Prochlorococcus sp. clone EnvTARA155 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	feca848013b836ff0f37caea6c9f4dea	557
EnvTARA156	KU377866	petB	Uncultured Prochlorococcus sp. clone EnvTARA156 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	b1dcf5a0e5aa6d376bd2a6e05052b746	558
EnvTARA157	KU377865	petB	Uncultured Prochlorococcus sp. clone EnvTARA157 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	8a5c6a5f255749521eee128bfa9c5792	557
EnvTARA158	KU377864	petB	Uncultured Prochlorococcus sp. clone EnvTARA158 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	31af544e5788640aa516e62c12b141d0	560
EnvTARA159	KU377863	petB	Uncultured Prochlorococcus sp. clone EnvTARA159 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIC	MIC	8d83ef6888ee8860c868604a20c360e7	561
EnvTARA160	KU377862	petB	Uncultured Prochlorococcus sp. clone EnvTARA160 cytochrome b6 (petB) gene, partial cds	petB_Pro_HLI|HLIA	MIC	6a36b580f5711b5e73ada6fafd2695ea	567
